#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.997547E-02   0.591870E+07   0.590927E+07   0.129369E+05   0.129368E+05   0.292214E+07   0.590460E+07   0.591722E+07   0.590461E+07  -0.463485E+00   0.571891E+07   0.571864E+07   0.963941E+01
   0.103136E-01   0.586230E+07   0.585230E+07   0.119860E+05   0.119860E+05   0.283297E+07   0.584798E+07   0.586074E+07   0.584799E+07  -0.459040E+00   0.566418E+07   0.566389E+07   0.985032E+01
   0.106632E-01   0.580449E+07   0.579388E+07   0.111013E+05   0.111012E+05   0.274388E+07   0.578994E+07   0.580283E+07   0.578995E+07  -0.454484E+00   0.560806E+07   0.560776E+07   0.100625E+02
   0.110246E-01   0.574525E+07   0.573401E+07   0.102783E+05   0.102782E+05   0.265505E+07   0.573048E+07   0.574349E+07   0.573049E+07  -0.449817E+00   0.555058E+07   0.555025E+07   0.102756E+02
   0.113983E-01   0.568457E+07   0.567266E+07   0.951283E+04   0.951277E+04   0.256676E+07   0.566958E+07   0.568270E+07   0.566958E+07  -0.445036E+00   0.549169E+07   0.549135E+07   0.104892E+02
   0.117846E-01   0.562242E+07   0.560981E+07   0.880108E+04   0.880101E+04   0.247927E+07   0.560721E+07   0.562044E+07   0.560722E+07  -0.440140E+00   0.543138E+07   0.543102E+07   0.107028E+02
   0.121841E-01   0.555879E+07   0.554544E+07   0.813940E+04   0.813934E+04   0.239278E+07   0.554337E+07   0.555670E+07   0.554338E+07  -0.435129E+00   0.536965E+07   0.536927E+07   0.109160E+02
   0.125970E-01   0.549366E+07   0.547955E+07   0.752442E+04   0.752437E+04   0.230743E+07   0.547804E+07   0.549145E+07   0.547805E+07  -0.430000E+00   0.530647E+07   0.530607E+07   0.111281E+02
   0.130240E-01   0.542703E+07   0.541210E+07   0.695299E+04   0.695294E+04   0.222328E+07   0.541120E+07   0.542469E+07   0.541121E+07  -0.424754E+00   0.524182E+07   0.524140E+07   0.113385E+02
   0.134655E-01   0.535887E+07   0.534310E+07   0.642214E+04   0.642210E+04   0.214038E+07   0.534285E+07   0.535640E+07   0.534286E+07  -0.419389E+00   0.517571E+07   0.517527E+07   0.115465E+02
   0.139219E-01   0.528918E+07   0.527253E+07   0.592914E+04   0.592910E+04   0.205868E+07   0.527298E+07   0.528657E+07   0.527298E+07  -0.413903E+00   0.510812E+07   0.510765E+07   0.117514E+02
   0.143938E-01   0.521795E+07   0.520038E+07   0.547141E+04   0.547137E+04   0.197810E+07   0.520156E+07   0.521520E+07   0.520157E+07  -0.408298E+00   0.503904E+07   0.503855E+07   0.119523E+02
   0.148817E-01   0.514518E+07   0.512664E+07   0.504654E+04   0.504650E+04   0.189854E+07   0.512861E+07   0.514228E+07   0.512862E+07  -0.402571E+00   0.496846E+07   0.496795E+07   0.121483E+02
   0.153861E-01   0.507085E+07   0.505132E+07   0.465230E+04   0.465227E+04   0.182003E+07   0.505411E+07   0.506779E+07   0.505412E+07  -0.396723E+00   0.489639E+07   0.489585E+07   0.123384E+02
   0.159076E-01   0.499498E+07   0.497441E+07   0.428660E+04   0.428657E+04   0.174280E+07   0.497807E+07   0.499176E+07   0.497808E+07  -0.390755E+00   0.482282E+07   0.482225E+07   0.125216E+02
   0.164468E-01   0.491756E+07   0.489592E+07   0.394748E+04   0.394745E+04   0.166715E+07   0.490049E+07   0.491417E+07   0.490050E+07  -0.384665E+00   0.474775E+07   0.474715E+07   0.126967E+02
   0.170042E-01   0.483860E+07   0.481586E+07   0.363313E+04   0.363310E+04   0.159329E+07   0.482138E+07   0.483504E+07   0.482139E+07  -0.378455E+00   0.467120E+07   0.467057E+07   0.128625E+02
   0.175806E-01   0.475812E+07   0.473424E+07   0.334184E+04   0.334182E+04   0.152117E+07   0.474076E+07   0.475438E+07   0.474076E+07  -0.372126E+00   0.459317E+07   0.459252E+07   0.130176E+02
   0.181765E-01   0.467613E+07   0.465108E+07   0.307203E+04   0.307201E+04   0.145065E+07   0.465864E+07   0.467221E+07   0.465864E+07  -0.365680E+00   0.451369E+07   0.451301E+07   0.131607E+02
   0.187926E-01   0.459266E+07   0.456641E+07   0.282222E+04   0.282220E+04   0.138166E+07   0.457504E+07   0.458855E+07   0.457505E+07  -0.359118E+00   0.443279E+07   0.443208E+07   0.132901E+02
   0.194296E-01   0.450775E+07   0.448028E+07   0.259103E+04   0.259101E+04   0.131431E+07   0.449002E+07   0.450345E+07   0.449002E+07  -0.352444E+00   0.435049E+07   0.434975E+07   0.134045E+02
   0.200881E-01   0.442144E+07   0.439272E+07   0.237717E+04   0.237716E+04   0.124872E+07   0.440360E+07   0.441694E+07   0.440360E+07  -0.345660E+00   0.426684E+07   0.426606E+07   0.135020E+02
   0.207690E-01   0.433377E+07   0.430379E+07   0.217945E+04   0.217944E+04   0.118500E+07   0.431583E+07   0.432908E+07   0.431583E+07  -0.338771E+00   0.418188E+07   0.418107E+07   0.135809E+02
   0.214730E-01   0.424481E+07   0.421356E+07   0.199675E+04   0.199673E+04   0.112321E+07   0.422679E+07   0.423992E+07   0.422679E+07  -0.331782E+00   0.409568E+07   0.409484E+07   0.136396E+02
   0.222008E-01   0.415464E+07   0.412211E+07   0.182801E+04   0.182800E+04   0.106332E+07   0.413654E+07   0.414954E+07   0.413654E+07  -0.324698E+00   0.400831E+07   0.400744E+07   0.136760E+02
   0.229533E-01   0.406333E+07   0.402953E+07   0.167228E+04   0.167227E+04   0.100526E+07   0.404518E+07   0.405804E+07   0.404518E+07  -0.317526E+00   0.391985E+07   0.391895E+07   0.136883E+02
   0.237313E-01   0.397099E+07   0.393594E+07   0.152864E+04   0.152863E+04   0.949045E+06   0.395279E+07   0.396550E+07   0.395279E+07  -0.310274E+00   0.383040E+07   0.382947E+07   0.136746E+02
   0.245357E-01   0.387772E+07   0.384144E+07   0.139624E+04   0.139623E+04   0.894861E+06   0.385950E+07   0.387204E+07   0.385950E+07  -0.302951E+00   0.374007E+07   0.373911E+07   0.136330E+02
   0.253673E-01   0.378367E+07   0.374619E+07   0.127431E+04   0.127430E+04   0.842769E+06   0.376544E+07   0.377781E+07   0.376544E+07  -0.295568E+00   0.364898E+07   0.364800E+07   0.135615E+02
   0.262272E-01   0.368898E+07   0.365034E+07   0.116211E+04   0.116210E+04   0.792651E+06   0.367076E+07   0.368293E+07   0.367076E+07  -0.288136E+00   0.355729E+07   0.355628E+07   0.134584E+02
   0.271161E-01   0.359381E+07   0.355407E+07   0.105894E+04   0.105893E+04   0.744465E+06   0.357561E+07   0.358759E+07   0.357561E+07  -0.280667E+00   0.346515E+07   0.346412E+07   0.133219E+02
   0.280352E-01   0.349834E+07   0.345758E+07   0.964172E+03   0.964165E+03   0.698293E+06   0.348019E+07   0.349196E+07   0.348020E+07  -0.273178E+00   0.337274E+07   0.337168E+07   0.131504E+02
   0.289855E-01   0.340278E+07   0.336108E+07   0.877208E+03   0.877202E+03   0.654180E+06   0.338470E+07   0.339625E+07   0.338470E+07  -0.265682E+00   0.328025E+07   0.327918E+07   0.129424E+02
   0.299680E-01   0.330735E+07   0.326481E+07   0.797490E+03   0.797484E+03   0.612108E+06   0.328936E+07   0.330069E+07   0.328936E+07  -0.258198E+00   0.318791E+07   0.318682E+07   0.126967E+02
   0.309837E-01   0.321228E+07   0.316902E+07   0.724495E+03   0.724490E+03   0.571997E+06   0.319441E+07   0.320551E+07   0.319441E+07  -0.250745E+00   0.309594E+07   0.309484E+07   0.124124E+02
