#           k/h    P           
   0.269728E+00   0.168588E+03
   0.275177E+00   0.161397E+03
   0.280736E+00   0.154188E+03
   0.286407E+00   0.147307E+03
   0.292193E+00   0.141038E+03
   0.298096E+00   0.135472E+03
   0.304118E+00   0.130597E+03
   0.310261E+00   0.126206E+03
   0.316529E+00   0.122056E+03
   0.322923E+00   0.117896E+03
   0.329447E+00   0.113548E+03
   0.336102E+00   0.109011E+03
   0.342892E+00   0.104372E+03
   0.349819E+00   0.998459E+02
   0.356885E+00   0.956109E+02
   0.364095E+00   0.917425E+02
   0.371450E+00   0.882387E+02
   0.378954E+00   0.849745E+02
   0.386609E+00   0.818229E+02
   0.394419E+00   0.786725E+02
   0.402387E+00   0.754804E+02
   0.410516E+00   0.723084E+02
   0.418809E+00   0.692345E+02
   0.427269E+00   0.663474E+02
   0.435901E+00   0.636733E+02
   0.444706E+00   0.611575E+02
   0.453690E+00   0.587406E+02
   0.462855E+00   0.563651E+02
   0.472206E+00   0.540196E+02
   0.481745E+00   0.517421E+02
   0.491477E+00   0.495636E+02
   0.501405E+00   0.475054E+02
   0.511534E+00   0.455568E+02
   0.521868E+00   0.436816E+02
   0.532411E+00   0.418616E+02
   0.543166E+00   0.400949E+02
   0.554139E+00   0.383914E+02
   0.565333E+00   0.367674E+02
   0.576753E+00   0.352201E+02
   0.588404E+00   0.337353E+02
   0.600291E+00   0.323048E+02
   0.612418E+00   0.309255E+02
   0.624789E+00   0.295997E+02
   0.637411E+00   0.283319E+02
   0.650288E+00   0.271192E+02
   0.663424E+00   0.259559E+02
   0.676826E+00   0.248389E+02
   0.690499E+00   0.237667E+02
   0.704448E+00   0.227379E+02
   0.718679E+00   0.217508E+02
   0.733197E+00   0.208041E+02
   0.748009E+00   0.198964E+02
   0.763119E+00   0.190262E+02
   0.778536E+00   0.181921E+02
   0.794263E+00   0.173930E+02
   0.810308E+00   0.166274E+02
   0.826677E+00   0.158941E+02
   0.843378E+00   0.151919E+02
   0.860415E+00   0.145195E+02
   0.877797E+00   0.138757E+02
   0.895529E+00   0.132593E+02
   0.913620E+00   0.126691E+02
   0.932076E+00   0.121042E+02
   0.950906E+00   0.115635E+02
   0.970115E+00   0.110459E+02
   0.989713E+00   0.105506E+02
   0.100971E+01   0.100766E+02
   0.103010E+01   0.962307E+01
   0.105091E+01   0.918911E+01
   0.107214E+01   0.877396E+01
   0.109380E+01   0.837683E+01
   0.111590E+01   0.799701E+01
   0.113844E+01   0.763376E+01
   0.116144E+01   0.728641E+01
   0.118490E+01   0.695430E+01
   0.120884E+01   0.663679E+01
   0.123326E+01   0.633327E+01
   0.125817E+01   0.604316E+01
   0.128359E+01   0.576589E+01
   0.130952E+01   0.550092E+01
   0.133597E+01   0.524774E+01
   0.136296E+01   0.500582E+01
   0.139049E+01   0.477471E+01
   0.141858E+01   0.455393E+01
   0.144724E+01   0.434303E+01
   0.147648E+01   0.414160E+01
   0.150630E+01   0.394923E+01
   0.153673E+01   0.376553E+01
   0.156778E+01   0.359011E+01
   0.159945E+01   0.342262E+01
   0.163176E+01   0.326272E+01
   0.166472E+01   0.311008E+01
   0.169835E+01   0.296437E+01
   0.173266E+01   0.282530E+01
   0.176766E+01   0.269257E+01
   0.180337E+01   0.256590E+01
   0.183980E+01   0.244503E+01
   0.187697E+01   0.232970E+01
   0.191489E+01   0.221966E+01
   0.195357E+01   0.211469E+01
   0.199304E+01   0.201455E+01
   0.203330E+01   0.191903E+01
   0.207437E+01   0.182793E+01
   0.211628E+01   0.174104E+01
   0.215903E+01   0.165818E+01
   0.220265E+01   0.157917E+01
   0.224714E+01   0.150383E+01
   0.229254E+01   0.143200E+01
   0.233885E+01   0.136352E+01
   0.238610E+01   0.129823E+01
   0.243430E+01   0.123600E+01
   0.248348E+01   0.117669E+01
   0.253365E+01   0.112016E+01
   0.258483E+01   0.106628E+01
   0.263705E+01   0.101493E+01
   0.269032E+01   0.966008E+00
   0.274466E+01   0.919390E+00
   0.280011E+01   0.874973E+00
   0.285668E+01   0.832656E+00
   0.291439E+01   0.792343E+00
   0.297326E+01   0.753941E+00
   0.303332E+01   0.717362E+00
   0.309460E+01   0.682521E+00
   0.315712E+01   0.649339E+00
   0.322090E+01   0.617738E+00
   0.328596E+01   0.587644E+00
   0.335234E+01   0.558987E+00
   0.342006E+01   0.531701E+00
   0.348916E+01   0.505722E+00
   0.355964E+01   0.480987E+00
   0.363155E+01   0.457440E+00
   0.370491E+01   0.435024E+00
   0.377976E+01   0.413686E+00
   0.385611E+01   0.393376E+00
   0.393401E+01   0.374045E+00
   0.401348E+01   0.355647E+00
   0.409456E+01   0.338138E+00
   0.417727E+01   0.321476E+00
   0.426166E+01   0.305621E+00
   0.434775E+01   0.290534E+00
   0.443558E+01   0.276180E+00
   0.452519E+01   0.262522E+00
   0.461660E+01   0.249529E+00
   0.470987E+01   0.237169E+00
   0.480501E+01   0.225410E+00
   0.490208E+01   0.214226E+00
   0.500111E+01   0.203587E+00
   0.510214E+01   0.193468E+00
   0.520521E+01   0.183844E+00
   0.531036E+01   0.174692E+00
   0.541763E+01   0.165988E+00
   0.552708E+01   0.157711E+00
   0.563873E+01   0.149841E+00
   0.575264E+01   0.142358E+00
   0.586885E+01   0.135242E+00
   0.598741E+01   0.128478E+00
   0.610836E+01   0.122046E+00
   0.623176E+01   0.115932E+00
   0.635765E+01   0.110120E+00
   0.648609E+01   0.104595E+00
   0.661711E+01   0.993433E-01
   0.675079E+01   0.943516E-01
   0.688716E+01   0.896074E-01
   0.702629E+01   0.850984E-01
   0.716823E+01   0.808132E-01
   0.731304E+01   0.767409E-01
   0.746077E+01   0.728711E-01
   0.761149E+01   0.691939E-01
   0.776525E+01   0.656998E-01
   0.792212E+01   0.623798E-01
   0.808217E+01   0.592255E-01
   0.824543E+01   0.562286E-01
   0.841200E+01   0.533815E-01
   0.858193E+01   0.506767E-01
   0.875530E+01   0.481073E-01
   0.893217E+01   0.456665E-01
   0.911261E+01   0.433481E-01
   0.929670E+01   0.411459E-01
   0.948451E+01   0.390543E-01
   0.967610E+01   0.370677E-01
   0.987158E+01   0.351810E-01
   0.100710E+02   0.333891E-01
   0.102744E+02   0.316875E-01
   0.104820E+02   0.300716E-01
   0.106938E+02   0.285372E-01
   0.109098E+02   0.270802E-01
   0.111302E+02   0.256967E-01
   0.113550E+02   0.243831E-01
   0.115844E+02   0.231359E-01
   0.118184E+02   0.219518E-01
   0.120572E+02   0.208277E-01
   0.123007E+02   0.197605E-01
   0.125492E+02   0.187474E-01
   0.128027E+02   0.177857E-01
   0.130614E+02   0.168728E-01
   0.133252E+02   0.160062E-01
   0.135944E+02   0.151837E-01
   0.138691E+02   0.144031E-01
   0.141492E+02   0.136621E-01
   0.144351E+02   0.129589E-01
   0.147267E+02   0.122915E-01
   0.150242E+02   0.116582E-01
   0.153277E+02   0.110571E-01
   0.156373E+02   0.104868E-01
   0.159532E+02   0.994552E-02
   0.162755E+02   0.943195E-02
   0.166043E+02   0.894464E-02
   0.169397E+02   0.848226E-02
   0.172819E+02   0.804356E-02
   0.176310E+02   0.762733E-02
   0.179872E+02   0.723244E-02
   0.183505E+02   0.685780E-02
   0.187212E+02   0.650239E-02
   0.190994E+02   0.616522E-02
   0.194853E+02   0.584538E-02
   0.198789E+02   0.554198E-02
   0.202805E+02   0.525419E-02
   0.206902E+02   0.498120E-02
   0.211081E+02   0.472227E-02
   0.215346E+02   0.447669E-02
   0.219696E+02   0.424375E-02
   0.224134E+02   0.402284E-02
   0.228662E+02   0.381332E-02
   0.233281E+02   0.361462E-02
   0.237994E+02   0.342618E-02
   0.242802E+02   0.324749E-02
   0.247707E+02   0.307803E-02
   0.252710E+02   0.291734E-02
   0.257816E+02   0.276497E-02
   0.263024E+02   0.262049E-02
   0.268337E+02   0.248349E-02
   0.273758E+02   0.235360E-02
   0.279288E+02   0.223044E-02
   0.284930E+02   0.211368E-02
   0.290686E+02   0.200297E-02
   0.296558E+02   0.189802E-02
   0.302549E+02   0.179852E-02
   0.308661E+02   0.170420E-02
   0.314897E+02   0.161478E-02
   0.321258E+02   0.153001E-02
   0.327748E+02   0.144966E-02
   0.334369E+02   0.137350E-02
   0.341123E+02   0.130130E-02
   0.348014E+02   0.123287E-02
   0.355045E+02   0.116801E-02
   0.362217E+02   0.110653E-02
   0.369535E+02   0.104826E-02
   0.377000E+02   0.993040E-03
   0.384616E+02   0.940703E-03
   0.392386E+02   0.891102E-03
   0.400312E+02   0.844096E-03
   0.408399E+02   0.799549E-03
   0.416649E+02   0.757335E-03
   0.425066E+02   0.717332E-03
   0.433653E+02   0.679425E-03
   0.442413E+02   0.643506E-03
   0.451350E+02   0.609470E-03
   0.460469E+02   0.577220E-03
   0.469770E+02   0.546663E-03
   0.479261E+02   0.517711E-03
   0.488942E+02   0.490279E-03
   0.498820E+02   0.464290E-03
   0.508896E+02   0.439667E-03
   0.519177E+02   0.416339E-03
   0.529665E+02   0.394239E-03
   0.540365E+02   0.373303E-03
   0.551281E+02   0.353469E-03
   0.562417E+02   0.334681E-03
   0.573779E+02   0.316882E-03
   0.585370E+02   0.300023E-03
   0.597195E+02   0.284053E-03
   0.609260E+02   0.268926E-03
   0.621568E+02   0.254598E-03
   0.634124E+02   0.241026E-03
   0.646934E+02   0.228172E-03
   0.660003E+02   0.215997E-03
   0.673336E+02   0.204467E-03
   0.686938E+02   0.193546E-03
   0.700816E+02   0.183203E-03
   0.714973E+02   0.173409E-03
   0.729416E+02   0.164133E-03
   0.744151E+02   0.155349E-03
   0.759184E+02   0.147030E-03
   0.774521E+02   0.139153E-03
   0.790167E+02   0.131694E-03
   0.806129E+02   0.124630E-03
   0.822415E+02   0.117942E-03
   0.839028E+02   0.111609E-03
   0.855978E+02   0.105613E-03
   0.873269E+02   0.999360E-04
   0.890911E+02   0.945608E-04
   0.908908E+02   0.894716E-04
   0.927270E+02   0.846535E-04
   0.946001E+02   0.800919E-04
   0.965112E+02   0.757735E-04
   0.984608E+02   0.716853E-04
   0.100450E+03   0.678151E-04
   0.102479E+03   0.641515E-04
   0.104549E+03   0.606835E-04
   0.106661E+03   0.574007E-04
   0.108816E+03   0.542933E-04
   0.111014E+03   0.513520E-04
   0.113257E+03   0.485681E-04
   0.115545E+03   0.459331E-04
   0.117879E+03   0.434392E-04
   0.120260E+03   0.410788E-04
   0.122690E+03   0.388449E-04
   0.125168E+03   0.367308E-04
   0.127697E+03   0.347301E-04
   0.130277E+03   0.328367E-04
   0.132908E+03   0.310450E-04
   0.135593E+03   0.293496E-04
   0.138332E+03   0.277454E-04
   0.141127E+03   0.262274E-04
   0.143978E+03   0.247910E-04
   0.146886E+03   0.234320E-04
   0.149854E+03   0.221463E-04
   0.152881E+03   0.209298E-04
   0.155969E+03   0.197789E-04
   0.159120E+03   0.186902E-04
   0.162334E+03   0.176602E-04
   0.165614E+03   0.166859E-04
   0.168960E+03   0.157643E-04
   0.172373E+03   0.148925E-04
   0.175855E+03   0.140680E-04
   0.179407E+03   0.132882E-04
   0.183032E+03   0.125506E-04
   0.186729E+03   0.118530E-04
   0.190501E+03   0.111934E-04
   0.194350E+03   0.105696E-04
   0.198276E+03   0.997968E-05
   0.202281E+03   0.942192E-05
   0.206368E+03   0.889455E-05
   0.210536E+03   0.839595E-05
   0.214790E+03   0.792457E-05
   0.219129E+03   0.747895E-05
   0.223555E+03   0.705770E-05
   0.228071E+03   0.665952E-05
   0.232679E+03   0.628316E-05
   0.237379E+03   0.592745E-05
   0.242175E+03   0.559129E-05
   0.247067E+03   0.527361E-05
   0.252058E+03   0.497343E-05
   0.257150E+03   0.468979E-05
   0.262345E+03   0.442182E-05
   0.267644E+03   0.416866E-05
   0.273051E+03   0.392952E-05
   0.278567E+03   0.370364E-05
   0.284195E+03   0.349030E-05
   0.289936E+03   0.328883E-05
   0.295793E+03   0.309858E-05
   0.301768E+03   0.291894E-05
   0.307864E+03   0.274935E-05
   0.314084E+03   0.258925E-05
   0.320428E+03   0.243813E-05
   0.326902E+03   0.229550E-05
   0.333505E+03   0.216091E-05
   0.340243E+03   0.203391E-05
   0.347116E+03   0.191409E-05
   0.354128E+03   0.180107E-05
   0.361282E+03   0.169447E-05
   0.368581E+03   0.159395E-05
   0.376026E+03   0.149916E-05
   0.383623E+03   0.140979E-05
   0.391372E+03   0.132555E-05
   0.399279E+03   0.124616E-05
   0.407344E+03   0.117134E-05
   0.415573E+03   0.110084E-05
   0.423968E+03   0.103444E-05
   0.432533E+03   0.971896E-06
   0.441271E+03   0.913004E-06
   0.450185E+03   0.857559E-06
   0.459279E+03   0.805370E-06
   0.468558E+03   0.756254E-06
   0.478023E+03   0.710038E-06
