bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si2c beta_Si2c alpha_Si2c bias_Si3 beta_Si3 alpha_Si3 bias_Si2b beta_Si2b alpha_Si2b bias_Si2a beta_Si2a alpha_Si2a qso_metal_boost chi2
-0.328982702021 1.78344437453 0.550251256281 0.895436174615 2.9 3.26 1.966 1.0 0.036156119623 0.586384558308 61.0508092464 -0.321545211796 -0.666666666667 300.0 3.87084 0.97076 -0.929855223013 4.0 4.0 0.53 0.289 5.86743318788 0.392341263448 0.0 inf 300.0 -0.000157166647055 0.5 1.0 -0.00677419305383 0.5 1.0 -0.00404061778012 0.5 1.0 -0.00124869230619 0.5 1.0 1.0 2582.46207707
-0.328685847553 1.78508885597 0.55527638191 0.892522521856 2.9 3.26 1.966 1.0 0.0361369598955 0.58631539782 60.9988105699 -0.323846454167 -0.666666666667 300.0 3.87084 0.97076 -0.929722186678 4.0 4.0 0.53 0.289 5.86448762381 0.391140974108 0.0 inf 300.0 -0.000171848909172 0.5 1.0 -0.0067677293613 0.5 1.0 -0.00403813800695 0.5 1.0 -0.00124773603591 0.5 1.0 1.0 2582.7185249
-0.328404783836 1.78784834399 0.560301507538 0.889652935984 2.9 3.26 1.966 1.0 0.0361072149744 0.586609734036 60.9368626601 -0.326058231784 -0.666666666667 300.0 3.87084 0.97076 -0.929338215005 4.0 4.0 0.53 0.289 5.86381422447 0.389215969829 0.0 inf 300.0 -0.000187288919403 0.5 1.0 -0.00676048112357 0.5 1.0 -0.00403304933257 0.5 1.0 -0.00124886549683 0.5 1.0 1.0 2583.02919639
-0.328075084456 1.79058550259 0.565326633166 0.886677634999 2.9 3.26 1.966 1.0 0.0360807387901 0.586594960099 60.8813371313 -0.328490345201 -0.666666666667 300.0 3.87084 0.97076 -0.929677360614 4.0 4.0 0.53 0.289 5.86263114518 0.387232424382 0.0 inf 300.0 -0.000202914009504 0.5 1.0 -0.00675385187289 0.5 1.0 -0.00403518884938 0.5 1.0 -0.00124344191732 0.5 1.0 1.0 2583.39606956
-0.327773504554 1.79374335694 0.570351758794 0.883799552443 2.9 3.26 1.966 1.0 0.0360422814621 0.586550282409 60.8226362622 -0.330736187398 -0.666666666667 300.0 3.87084 0.97076 -0.929623977656 4.0 4.0 0.53 0.289 5.86273012678 0.384936170274 0.0 inf 300.0 -0.000219209733275 0.5 1.0 -0.00674637713928 0.5 1.0 -0.00403281417974 0.5 1.0 -0.00124232592114 0.5 1.0 1.0 2583.82067251
-0.327445895882 1.79754008074 0.575376884422 0.88076527344 2.9 3.26 1.966 1.0 0.0360121976934 0.58708635266 60.7817287347 -0.33320427822 -0.666666666667 300.0 3.87084 0.97076 -0.929550677636 4.0 4.0 0.53 0.289 5.8634837875 0.382261027098 0.0 inf 300.0 -0.000233163848337 0.5 1.0 -0.00674423225862 0.5 1.0 -0.00402641910308 0.5 1.0 -0.00124831045763 0.5 1.0 1.0 2584.30387713
-0.327145045678 1.80109648176 0.58040201005 0.877866974689 2.9 3.26 1.966 1.0 0.0359727196633 0.58660759558 60.7114550117 -0.335315204389 -0.666666666667 300.0 3.87084 0.97076 -0.929269370644 4.0 4.0 0.53 0.289 5.8648835551 0.379446913228 0.0 inf 300.0 -0.000252512043419 0.5 1.0 -0.00673479547589 0.5 1.0 -0.00402842423847 0.5 1.0 -0.00124064948919 0.5 1.0 1.0 2584.84598343
-0.326860781131 1.80616949323 0.585427135678 0.875055235837 2.9 3.26 1.966 1.0 0.0359195103194 0.586922124651 60.6553688445 -0.337371142784 -0.666666666667 300.0 3.87084 0.97076 -0.929324421689 4.0 4.0 0.53 0.289 5.86858888021 0.375983527902 0.0 inf 300.0 -0.00026582805804 0.5 1.0 -0.006729454514 0.5 1.0 -0.00402599590095 0.5 1.0 -0.00124125181453 0.5 1.0 1.0 2585.44678924
-0.326594364975 1.81190482673 0.590452261307 0.87226628984 2.9 3.26 1.966 1.0 0.0358606938705 0.586877682181 60.5822962046 -0.339433109141 -0.666666666667 300.0 3.87084 0.97076 -0.930622552315 4.0 4.0 0.53 0.289 5.87232662075 0.372619678327 0.0 inf 300.0 -0.000282453387134 0.5 1.0 -0.00673572822862 0.5 1.0 -0.00402750837296 0.5 1.0 -0.00123468067458 0.5 1.0 1.0 2586.1054362
-0.326310793677 1.81845275303 0.595477386935 0.869692240869 2.9 3.26 1.966 1.0 0.035805109165 0.586874440789 60.5241050356 -0.341438140506 -0.666666666667 300.0 3.87084 0.97076 -0.930510147975 4.0 4.0 0.53 0.289 5.87976485838 0.368162624874 0.0 inf 300.0 -0.000300146558997 0.5 1.0 -0.00672558846764 0.5 1.0 -0.00402273209037 0.5 1.0 -0.00123719250875 0.5 1.0 1.0 2586.82071357
