#bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si2c beta_Si2c alpha_Si2c bias_Si3 beta_Si3 alpha_Si3 bias_Si2b beta_Si2b alpha_Si2b bias_Si2a beta_Si2a alpha_Si2a qso_metal_boost chi2
-0.339093391307 2.39458280241 0.855555555556 0.727586206897 2.9 3.26 1.966 1.0 0.0287023449907 0.561074439446 60.6279069888 -0.239774726961 -0.666666666667 300.0 3.87084 0.97076 -0.940888588359 4.0 4.0 0.53 0.289 7.08529039685 0.0809997856915 0.0 inf 300.0 0.000532852107502 0.5 1.0 -0.0066862852405 0.5 1.0 -0.00393834488129 0.5 1.0 -0.00139289355243 0.5 1.0 1.0 2625.66064675
-0.339300198509 2.34159809451 0.855555555556 0.755172413793 2.9 3.26 1.966 1.0 0.0287166288854 0.561426097407 60.7329838741 -0.238802572884 -0.666666666667 300.0 3.87084 0.97076 -0.938361562301 4.0 4.0 0.53 0.289 7.01261065605 0.105018758268 0.0 inf 300.0 0.000532880036066 0.5 1.0 -0.00667745848608 0.5 1.0 -0.00393328207311 0.5 1.0 -0.00140093575869 0.5 1.0 1.0 2623.31663722
-0.33931095815 2.2802142617 0.855555555556 0.78275862069 2.9 3.26 1.966 1.0 0.02887352509 0.561714862499 60.8196390001 -0.239802057263 -0.666666666667 300.0 3.87084 0.97076 -0.936020503979 4.0 4.0 0.53 0.289 6.92023472115 0.134165703557 0.0 inf 300.0 0.0005366636242 0.5 1.0 -0.00667719146137 0.5 1.0 -0.0039335095276 0.5 1.0 -0.00140646737233 0.5 1.0 1.0 2620.05117168
-0.338920595753 2.2101230412 0.855555555556 0.810344827586 2.9 3.26 1.966 1.0 0.0292762060347 0.562115122832 60.9184139117 -0.244115226334 -0.666666666667 300.0 3.87084 0.97076 -0.935272453594 4.0 4.0 0.53 0.289 6.80019916223 0.168784359346 0.0 inf 300.0 0.000544250868381 0.5 1.0 -0.00669115905898 0.5 1.0 -0.00394398731568 0.5 1.0 -0.00140637106667 0.5 1.0 1.0 2616.27287589
-0.339479505809 2.16198320207 0.855555555556 0.837931034483 2.9 3.26 1.966 1.0 0.0293702715267 0.56123995244 60.9576068804 -0.242229929964 -0.666666666667 300.0 3.87084 0.97076 -0.934593865558 4.0 4.0 0.53 0.289 6.73486499642 0.194678072735 0.0 inf 300.0 0.000549272984551 0.5 1.0 -0.00669980570931 0.5 1.0 -0.00394937331383 0.5 1.0 -0.00140905434827 0.5 1.0 1.0 2612.37314417
-0.339928278038 2.12091318492 0.855555555556 0.865517241379 2.9 3.26 1.966 1.0 0.0295052166079 0.560478286336 60.9942268667 -0.240761542538 -0.666666666667 300.0 3.87084 0.97076 -0.934263006979 4.0 4.0 0.53 0.289 6.67553760122 0.217306985767 0.0 inf 300.0 0.000556115722948 0.5 1.0 -0.00671228255856 0.5 1.0 -0.00395756925624 0.5 1.0 -0.00141007672557 0.5 1.0 1.0 2608.71009667
-0.340241035995 2.08935800481 0.855555555556 0.893103448276 2.9 3.26 1.966 1.0 0.0296722971881 0.560025267938 61.024038473 -0.239723245458 -0.666666666667 300.0 3.87084 0.97076 -0.934234013957 4.0 4.0 0.53 0.289 6.62683812841 0.234885666637 0.0 inf 300.0 0.000564444242334 0.5 1.0 -0.00672823746799 0.5 1.0 -0.00396741841902 0.5 1.0 -0.00140942535719 0.5 1.0 1.0 2605.59759803
-0.339162959333 2.03980630058 0.855555555556 0.920689655172 2.9 3.26 1.966 1.0 0.0304244537469 0.561457973629 61.0575479091 -0.248090471168 -0.666666666667 300.0 3.87084 0.97076 -0.933783503441 4.0 4.0 0.53 0.289 6.52558641551 0.258946219768 0.0 inf 300.0 0.000576408345784 0.5 1.0 -0.00673395455788 0.5 1.0 -0.00397678685355 0.5 1.0 -0.0014118454658 0.5 1.0 1.0 2603.24393909
-0.339247333968 2.02643538176 0.855555555556 0.948275862069 2.9 3.26 1.966 1.0 0.0306445624914 0.561846795859 61.0670402149 -0.247764571989 -0.666666666667 300.0 3.87084 0.97076 -0.93423037266 4.0 4.0 0.53 0.289 6.50193387184 0.266028545767 0.0 inf 300.0 0.000587456245603 0.5 1.0 -0.00675601468903 0.5 1.0 -0.00399030021325 0.5 1.0 -0.00140577721321 0.5 1.0 1.0 2601.70055526
-0.339385023415 2.02382448354 0.855555555556 0.975862068966 2.9 3.26 1.966 1.0 0.0308135595753 0.562271256367 61.0772051089 -0.246822193156 -0.666666666667 300.0 3.87084 0.97076 -0.935396508977 4.0 4.0 0.53 0.289 6.49311002427 0.268013859355 0.0 inf 300.0 0.000600096050853 0.5 1.0 -0.00679171233286 0.5 1.0 -0.00400708472151 0.5 1.0 -0.00139441611081 0.5 1.0 1.0 2600.82039017
-0.339597356329 2.02481455698 0.855555555556 1.00344827586 2.9 3.26 1.966 1.0 0.030892321833 0.563324128659 61.0751640786 -0.244769120438 -0.666666666667 300.0 3.87084 0.97076 -0.936012174462 4.0 4.0 0.53 0.289 6.49620057051 0.267048277904 0.0 inf 300.0 0.00060884566296 0.5 1.0 -0.00681593471395 0.5 1.0 -0.00401469378199 0.5 1.0 -0.00138740240992 0.5 1.0 1.0 2600.37006783
-0.339856442596 2.02634605947 0.855555555556 1.03103448276 2.9 3.26 1.966 1.0 0.0309009842028 0.563755321005 61.0643619691 -0.242293097534 -0.666666666667 300.0 3.87084 0.97076 -0.936571932064 4.0 4.0 0.53 0.289 6.50157523147 0.265686985618 0.0 inf 300.0 0.000617442973022 0.5 1.0 -0.00683671860687 0.5 1.0 -0.00401932649665 0.5 1.0 -0.00138169651007 0.5 1.0 1.0 2600.12540843
-0.340131979663 2.02579391212 0.855555555556 1.05862068966 2.9 3.26 1.966 1.0 0.030871057987 0.564070571571 61.055802706 -0.239701169665 -0.666666666667 300.0 3.87084 0.97076 -0.936904424343 4.0 4.0 0.53 0.289 6.50398773216 0.265574133727 0.0 inf 300.0 0.000624144242369 0.5 1.0 -0.00685581068895 0.5 1.0 -0.00402134881355 0.5 1.0 -0.00137605055414 0.5 1.0 1.0 2599.91689509
-0.340400900826 2.02164056698 0.855555555556 1.08620689655 2.9 3.26 1.966 1.0 0.0308239641149 0.564314593367 61.0542710885 -0.237239273733 -0.666666666667 300.0 3.87084 0.97076 -0.937000512781 4.0 4.0 0.53 0.289 6.5003577554 0.267588185476 0.0 inf 300.0 0.000628908423012 0.5 1.0 -0.00687256274378 0.5 1.0 -0.00402155474438 0.5 1.0 -0.00137086006374 0.5 1.0 1.0 2599.63176572
-0.340650024041 2.01324090483 0.855555555556 1.11379310345 2.9 3.26 1.966 1.0 0.0307718176133 0.564485606369 61.060490768 -0.235068159292 -0.666666666667 300.0 3.87084 0.97076 -0.936876193461 4.0 4.0 0.53 0.289 6.48933647598 0.272123776842 0.0 inf 300.0 0.000631800586682 0.5 1.0 -0.00688663880246 0.5 1.0 -0.00402023893037 0.5 1.0 -0.00136644194831 0.5 1.0 1.0 2599.20654279
-0.340955678239 1.99963651298 0.855555555556 1.14137931034 2.9 3.26 1.966 1.0 0.0306745816209 0.563784921933 61.0424083177 -0.232569053149 -0.666666666667 300.0 3.87084 0.97076 -0.935810769436 4.0 4.0 0.53 0.289 6.47236520927 0.279200482808 0.0 inf 300.0 0.000636635873746 0.5 1.0 -0.00689613599637 0.5 1.0 -0.00401555362208 0.5 1.0 -0.00136325884374 0.5 1.0 1.0 2598.62758188
-0.341139799215 1.98423773067 0.855555555556 1.16896551724 2.9 3.26 1.966 1.0 0.0306490500715 0.564060945452 61.0726080202 -0.231247943468 -0.666666666667 300.0 3.87084 0.97076 -0.935743769514 4.0 4.0 0.53 0.289 6.44718036035 0.288383400561 0.0 inf 300.0 0.000637810334183 0.5 1.0 -0.0069091098653 0.5 1.0 -0.00401288927078 0.5 1.0 -0.00136100815408 0.5 1.0 1.0 2597.92884724
-0.341306829434 1.96775364545 0.855555555556 1.19655172414 2.9 3.26 1.966 1.0 0.0306301985691 0.564263470561 61.1103751866 -0.230029877078 -0.666666666667 300.0 3.87084 0.97076 -0.93504320723 4.0 4.0 0.53 0.289 6.42013096946 0.298228533627 0.0 inf 300.0 0.0006350486786 0.5 1.0 -0.00691812085287 0.5 1.0 -0.00400985309549 0.5 1.0 -0.00135933540594 0.5 1.0 1.0 2597.18548892
-0.341448273543 1.95179846812 0.855555555556 1.22413793103 2.9 3.26 1.966 1.0 0.0306113543155 0.564550294726 61.1542801015 -0.228901121132 -0.666666666667 300.0 3.87084 0.97076 -0.934478663367 4.0 4.0 0.53 0.289 6.39441730232 0.307637646338 0.0 inf 300.0 0.000630186678665 0.5 1.0 -0.00692151024229 0.5 1.0 -0.00400728637377 0.5 1.0 -0.00135793084285 0.5 1.0 1.0 2596.49213477
-0.341568438259 1.9371823912 0.855555555556 1.25172413793 2.9 3.26 1.966 1.0 0.0305854397067 0.564794586489 61.1863820316 -0.227858225576 -0.666666666667 300.0 3.87084 0.97076 -0.933759525671 4.0 4.0 0.53 0.289 6.37147300231 0.315996427526 0.0 inf 300.0 0.00062498392998 0.5 1.0 -0.00692348865065 0.5 1.0 -0.00400550068699 0.5 1.0 -0.00135693284564 0.5 1.0 1.0 2595.93769956
-0.341712875333 1.92623180659 0.855555555556 1.27931034483 2.9 3.26 1.966 1.0 0.0305480277563 0.564796770119 61.2305745332 -0.226516051751 -0.666666666667 300.0 3.87084 0.97076 -0.933326592982 4.0 4.0 0.53 0.289 6.35521906466 0.322209574255 0.0 inf 300.0 0.000621649932252 0.5 1.0 -0.00692627692652 0.5 1.0 -0.00400338698614 0.5 1.0 -0.00135704575911 0.5 1.0 1.0 2595.58368342
-0.341847486512 1.9190082185 0.855555555556 1.30689655172 2.9 3.26 1.966 1.0 0.0305123985544 0.56485231082 61.2779408971 -0.225108719862 -0.666666666667 300.0 3.87084 0.97076 -0.93313139501 4.0 4.0 0.53 0.289 6.34527369682 0.326133752384 0.0 inf 300.0 0.000621057048137 0.5 1.0 -0.00693022140637 0.5 1.0 -0.00400092675976 0.5 1.0 -0.001357876369 0.5 1.0 1.0 2595.45036234
-0.341970327566 1.91540857782 0.855555555556 1.33448275862 2.9 3.26 1.966 1.0 0.0304790124897 0.565046732348 61.3265170468 -0.223657467166 -0.666666666667 300.0 3.87084 0.97076 -0.933152764577 4.0 4.0 0.53 0.289 6.34150248631 0.327810620849 0.0 inf 300.0 0.000621845515926 0.5 1.0 -0.00693499921244 0.5 1.0 -0.00399808101529 0.5 1.0 -0.00135984411257 0.5 1.0 1.0 2595.51933809
