bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa chi2
-0.354709021054 1.63153924681 0.8 0.975862068966 2.9 3.26 1.966 1.0 -0.0300003322638 0.660717153985 24.4384508078 0.108556785093 -0.666666666667 300.0 4.0 4.0 -0.00305508401578 0.5 1.0 -0.00409720800434 0.5 1.0 -0.00319451508531 0.5 1.0 -0.00194126151099 0.5 1.0 -0.0147214033495 0.5 1.0 1277.10793587
-0.354799375337 1.63024905526 0.8 1.00344827586 2.9 3.26 1.966 1.0 -0.0300409219827 0.662756771523 24.4367659952 0.11037084793 -0.666666666667 300.0 4.0 4.0 -0.00305256138325 0.5 1.0 -0.00409332144051 0.5 1.0 -0.0031944837474 0.5 1.0 -0.00193328614752 0.5 1.0 -0.0147623018756 0.5 1.0 1275.12895515
-0.35489906848 1.62966649443 0.8 1.03103448276 2.9 3.26 1.966 1.0 -0.0300792579515 0.663474311919 24.4338318839 0.111911440445 -0.666666666667 300.0 4.0 4.0 -0.00305396404157 0.5 1.0 -0.00408988086622 0.5 1.0 -0.00319427270953 0.5 1.0 -0.00192526772033 0.5 1.0 -0.01474365458 0.5 1.0 1273.4951085
-0.355015084104 1.62968335711 0.8 1.05862068966 2.9 3.26 1.966 1.0 -0.0301264555635 0.662847104263 24.4307531381 0.113308985067 -0.666666666667 300.0 4.0 4.0 -0.00305808954574 0.5 1.0 -0.00408663644727 0.5 1.0 -0.00319397582943 0.5 1.0 -0.00192093979081 0.5 1.0 -0.014667167185 0.5 1.0 1272.16454529
-0.355101287361 1.62942204017 0.8 1.08620689655 2.9 3.26 1.966 1.0 -0.0301570164974 0.663427000687 24.424175839 0.114691934814 -0.666666666667 300.0 4.0 4.0 -0.00306246179579 0.5 1.0 -0.00408207793497 0.5 1.0 -0.00319238997689 0.5 1.0 -0.00191223263022 0.5 1.0 -0.0146583148777 0.5 1.0 1271.08390139
-0.355182235088 1.62923618363 0.8 1.11379310345 2.9 3.26 1.966 1.0 -0.0301849845986 0.663924312079 24.4165861969 0.116015137469 -0.666666666667 300.0 4.0 4.0 -0.00306771132147 0.5 1.0 -0.00407726259137 0.5 1.0 -0.00319028920762 0.5 1.0 -0.00190354051271 0.5 1.0 -0.0146526166653 0.5 1.0 1270.1976845
-0.355258906939 1.62908422614 0.8 1.14137931034 2.9 3.26 1.966 1.0 -0.0302123002403 0.664354717143 24.4086099031 0.117299559951 -0.666666666667 300.0 4.0 4.0 -0.00307322671926 0.5 1.0 -0.00407234746303 0.5 1.0 -0.00318790835867 0.5 1.0 -0.00189501254266 0.5 1.0 -0.0146492092663 0.5 1.0 1269.44961033
-0.355332623302 1.62892170798 0.8 1.16896551724 2.9 3.26 1.966 1.0 -0.0302407022518 0.664736781068 24.4009181802 0.118567613352 -0.666666666667 300.0 4.0 4.0 -0.00307842792959 0.5 1.0 -0.00406747001639 0.5 1.0 -0.0031854624549 0.5 1.0 -0.00188674785241 0.5 1.0 -0.0146471633415 0.5 1.0 1268.77940076
-0.355404899243 1.62869572201 0.8 1.19655172414 2.9 3.26 1.966 1.0 -0.0302712193383 0.665089422024 24.3940930413 0.11984009623 -0.666666666667 300.0 4.0 4.0 -0.00308288979373 0.5 1.0 -0.00406273270152 0.5 1.0 -0.00318311646238 0.5 1.0 -0.00187880347004 0.5 1.0 -0.0146455356662 0.5 1.0 1268.12473453
-0.355477085254 1.6283523199 0.8 1.22413793103 2.9 3.26 1.966 1.0 -0.0303040286721 0.66543036575 24.3885371879 0.121132108404 -0.666666666667 300.0 4.0 4.0 -0.00308638685224 0.5 1.0 -0.00405820416157 0.5 1.0 -0.00318097306329 0.5 1.0 -0.00187120492253 0.5 1.0 -0.0146435899203 0.5 1.0 1267.4301386
-0.355550044382 1.62784547881 0.8 1.25172413793 2.9 3.26 1.966 1.0 -0.0303384195422 0.665775396604 24.3844318506 0.122449067923 -0.666666666667 300.0 4.0 4.0 -0.00308890164401 0.5 1.0 -0.00405392616603 0.5 1.0 -0.00317907042403 0.5 1.0 -0.00186396301005 0.5 1.0 -0.0146409201912 0.5 1.0 1266.65414498
-0.355605878689 1.62683899651 0.8 1.27931034483 2.9 3.26 1.966 1.0 -0.0303618846696 0.66721183623 24.3841872498 0.12372694012 -0.666666666667 300.0 4.0 4.0 -0.00308777037241 0.5 1.0 -0.00405014176863 0.5 1.0 -0.00317787667546 0.5 1.0 -0.00185654311306 0.5 1.0 -0.0146650782073 0.5 1.0 1265.77693525
