bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa chi2
-0.355952070566 1.65828901578 1.06631458261 0.550251256281 2.9 3.26 1.966 1.0 -0.0311727776114 0.695753111534 24.4250972364 0.132280261174 -0.666666666667 300.0 4.0 4.0 -0.00299916071918 0.5 1.0 -0.00398659066697 0.5 1.0 -0.0031999890521 0.5 1.0 -0.00125030872435 0.5 1.0 -0.0147166959956 0.5 1.0 1253.30290059
-0.355951709953 1.65877464892 1.06522294667 0.55527638191 2.9 3.26 1.966 1.0 -0.0311875342075 0.69561060236 24.4258733242 0.13235632399 -0.666666666667 300.0 4.0 4.0 -0.00299685943321 0.5 1.0 -0.00398602332435 0.5 1.0 -0.00319944729317 0.5 1.0 -0.00124305969261 0.5 1.0 -0.0147212006446 0.5 1.0 1253.85856669
-0.355951460836 1.65926228694 1.06426508191 0.560301507538 2.9 3.26 1.966 1.0 -0.0312016139059 0.695497673289 24.426500582 0.132434234524 -0.666666666667 300.0 4.0 4.0 -0.0029947435368 0.5 1.0 -0.00398532795654 0.5 1.0 -0.00319889752768 0.5 1.0 -0.00123667826712 0.5 1.0 -0.014725821154 0.5 1.0 1254.4283185
-0.355951617331 1.65975476639 1.06347798377 0.565326633166 2.9 3.26 1.966 1.0 -0.0312171376838 0.695398451836 24.427400473 0.132528879305 -0.666666666667 300.0 4.0 4.0 -0.00299235979795 0.5 1.0 -0.00398470276555 0.5 1.0 -0.00319840835316 0.5 1.0 -0.00123154635196 0.5 1.0 -0.0147292468247 0.5 1.0 1255.0080732
-0.355952575723 1.66024827857 1.06286972623 0.570351758794 2.9 3.26 1.966 1.0 -0.0312342368929 0.695302632685 24.4285819978 0.132640370648 -0.666666666667 300.0 4.0 4.0 -0.00298975688459 0.5 1.0 -0.00398415040249 0.5 1.0 -0.00319804990835 0.5 1.0 -0.00122780238897 0.5 1.0 -0.0147327091862 0.5 1.0 1255.59273077
-0.355953839612 1.66072968298 1.06244167655 0.575376884422 2.9 3.26 1.966 1.0 -0.0312514633588 0.69522771067 24.4298064145 0.132761477798 -0.666666666667 300.0 4.0 4.0 -0.0029871424865 0.5 1.0 -0.00398358113843 0.5 1.0 -0.00319769323411 0.5 1.0 -0.00122529509517 0.5 1.0 -0.0147349654859 0.5 1.0 1256.17754551
-0.355955200663 1.66118955106 1.06217943759 0.58040201005 2.9 3.26 1.966 1.0 -0.031267370307 0.695180697815 24.4308276412 0.132882796498 -0.666666666667 300.0 4.0 4.0 -0.00298478468791 0.5 1.0 -0.00398287335188 0.5 1.0 -0.00319725945816 0.5 1.0 -0.00122377838667 0.5 1.0 -0.0147362352163 0.5 1.0 1256.75634814
-0.355957247983 1.66163836633 1.06210837823 0.585427135678 2.9 3.26 1.966 1.0 -0.0312834511009 0.695139018358 24.4319512142 0.133012883951 -0.666666666667 300.0 4.0 4.0 -0.00298241053361 0.5 1.0 -0.00398210867212 0.5 1.0 -0.00319685944671 0.5 1.0 -0.0012235421548 0.5 1.0 -0.0147362610522 0.5 1.0 1257.32429855
-0.355962537556 1.66210341674 1.06230083556 0.590452261307 2.9 3.26 1.966 1.0 -0.0313121353384 0.695050797011 24.435499482 0.133237828747 -0.666666666667 300.0 4.0 4.0 -0.00297776565443 0.5 1.0 -0.00398263357956 0.5 1.0 -0.00319722532053 0.5 1.0 -0.00122660847594 0.5 1.0 -0.0147345737016 0.5 1.0 1257.87417638
-0.355967242731 1.66250688078 1.0626868648 0.595477386935 2.9 3.26 1.966 1.0 -0.0313332296702 0.695014916444 24.4377544805 0.133422488401 -0.666666666667 300.0 4.0 4.0 -0.00297457353409 0.5 1.0 -0.00398243559328 0.5 1.0 -0.0031972373377 0.5 1.0 -0.00123027770538 0.5 1.0 -0.0147331337986 0.5 1.0 1258.3990306
