bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa chi2
-0.355872554786 1.61804004996 0.645728643216 1.82798594512 2.9 3.26 1.966 1.0 -0.0301273867689 0.660951320618 24.2954000553 0.128472872722 -0.666666666667 300.0 4.0 4.0 -0.00316821263857 0.5 1.0 -0.00399315983535 0.5 1.0 -0.00312687414004 0.5 1.0 -0.00214874056719 0.5 1.0 -0.0146504541946 0.5 1.0 1264.26053805
-0.355841924952 1.61700432022 0.650753768844 1.81136052053 2.9 3.26 1.966 1.0 -0.0301090670654 0.660908978842 24.3085667483 0.127900300174 -0.666666666667 300.0 4.0 4.0 -0.00316327440477 0.5 1.0 -0.00399776279928 0.5 1.0 -0.00313054129263 0.5 1.0 -0.00215289932813 0.5 1.0 -0.0146683670254 0.5 1.0 1264.48318273
-0.35583617603 1.61707269166 0.655778894472 1.79522319398 2.9 3.26 1.966 1.0 -0.0300940221883 0.660424679551 24.3015472897 0.127506073826 -0.666666666667 300.0 4.0 4.0 -0.0031700076985 0.5 1.0 -0.00399912464878 0.5 1.0 -0.00313267981275 0.5 1.0 -0.00214939606711 0.5 1.0 -0.0146504297567 0.5 1.0 1264.69129959
-0.355822983188 1.6166303533 0.660804020101 1.78109775772 2.9 3.26 1.966 1.0 -0.0300828909409 0.660229461756 24.3052712248 0.127138209162 -0.666666666667 300.0 4.0 4.0 -0.00317009293191 0.5 1.0 -0.00400198676808 0.5 1.0 -0.0031349782247 0.5 1.0 -0.00214919415851 0.5 1.0 -0.0146534789173 0.5 1.0 1264.88297372
-0.355813616284 1.61624048167 0.665829145729 1.76830933281 2.9 3.26 1.966 1.0 -0.0300772926285 0.660088922742 24.3094805075 0.126862331258 -0.666666666667 300.0 4.0 4.0 -0.00316938278188 0.5 1.0 -0.0040046537905 0.5 1.0 -0.00313725094474 0.5 1.0 -0.00214824962277 0.5 1.0 -0.0146559487006 0.5 1.0 1265.05533051
-0.35580599628 1.61588563585 0.670854271357 1.75637897219 2.9 3.26 1.966 1.0 -0.0300736355359 0.660000009566 24.3134615532 0.126636218979 -0.666666666667 300.0 4.0 4.0 -0.00316855512097 0.5 1.0 -0.00400712288625 0.5 1.0 -0.00313937912666 0.5 1.0 -0.00214668315063 0.5 1.0 -0.0146580922871 0.5 1.0 1265.20599373
-0.355800054334 1.61557924249 0.675879396985 1.74464036125 2.9 3.26 1.966 1.0 -0.0300729539099 0.65996624728 24.3176014422 0.126460009665 -0.666666666667 300.0 4.0 4.0 -0.00316726998305 0.5 1.0 -0.00400945573394 0.5 1.0 -0.0031414284572 0.5 1.0 -0.00214452718993 0.5 1.0 -0.0146600108855 0.5 1.0 1265.33253278
-0.355796220699 1.61531671818 0.680904522613 1.73351148844 2.9 3.26 1.966 1.0 -0.030074962171 0.659971621553 24.3216348293 0.126337590743 -0.666666666667 300.0 4.0 4.0 -0.00316574857383 0.5 1.0 -0.00401161304984 0.5 1.0 -0.00314336823524 0.5 1.0 -0.00214170119619 0.5 1.0 -0.0146613897024 0.5 1.0 1265.43258505
-0.355794107822 1.61509449514 0.685929648241 1.72282142654 2.9 3.26 1.966 1.0 -0.0300790522593 0.660022893603 24.3254756488 0.126261157739 -0.666666666667 300.0 4.0 4.0 -0.00316405599322 0.5 1.0 -0.00401360519212 0.5 1.0 -0.00314519023368 0.5 1.0 -0.00213820706319 0.5 1.0 -0.0146622568942 0.5 1.0 1265.50408785
-0.355793425288 1.61491374908 0.690954773869 1.71243476708 2.9 3.26 1.966 1.0 -0.0300846343594 0.660111810152 24.3289429838 0.126223747534 -0.666666666667 300.0 4.0 4.0 -0.00316239562887 0.5 1.0 -0.00401543884226 0.5 1.0 -0.00314688499332 0.5 1.0 -0.00213404809022 0.5 1.0 -0.0146627644573 0.5 1.0 1265.54542233
-0.355787379077 1.61473763097 0.695979899497 1.70286435794 2.9 3.26 1.966 1.0 -0.0300915196938 0.661627840033 24.3307874283 0.126430546021 -0.666666666667 300.0 4.0 4.0 -0.00315917202558 0.5 1.0 -0.0040146387468 0.5 1.0 -0.00315102666508 0.5 1.0 -0.00212748362455 0.5 1.0 -0.014679222773 0.5 1.0 1265.55510172
-0.355794297885 1.61434188153 0.701005025126 1.69209425591 2.9 3.26 1.966 1.0 -0.0301033536824 0.661458861786 24.3359018118 0.126570651071 -0.666666666667 300.0 4.0 4.0 -0.00315687954892 0.5 1.0 -0.00401681504088 0.5 1.0 -0.00315297070008 0.5 1.0 -0.0021215386046 0.5 1.0 -0.014683103659 0.5 1.0 1265.53136623
