# BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-scale-sky BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-sigma-sky BB-cf_z_0_10-0-broadband_sky-scale-sky BB-cf_z_0_10-0-broadband_sky-sigma-sky L0_hcd alpha_CIV(eff) alpha_LYA alpha_SiII(1190) alpha_SiII(1193) alpha_SiII(1260) alpha_SiIII(1207) ap at bao_amp beta_CIV(eff) beta_LYA beta_SiII(1190) beta_SiII(1193) beta_SiII(1260) beta_SiIII(1207) beta_hcd bias_eta_CIV(eff) bias_eta_LYA bias_eta_SiII(1190) bias_eta_SiII(1193) bias_eta_SiII(1260) bias_eta_SiIII(1207) bias_hcd dnl_arinyo_av dnl_arinyo_bv dnl_arinyo_kp dnl_arinyo_kv dnl_arinyo_q1 growth_rate par-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 par-binsize-cf_z_0_10 per-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 per-binsize-cf_z_0_10 sigmaNL_par sigmaNL_per chi2
1.335272e-02 3.397710e+01 9.422770e-03 3.127737e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.096296e+00 1.000000e+00 2.700000e-01 1.671850e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.472900e-01 -5.388624e-03 -2.007652e-01 -2.974733e-03 -2.070345e-03 -3.093397e-03 -4.518359e-03 -5.278263e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.226545e+03
1.335264e-02 3.397459e+01 9.422923e-03 3.127628e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.111111e+00 1.000000e+00 2.700000e-01 1.671654e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.471379e-01 -5.403798e-03 -2.007578e-01 -2.974821e-03 -2.069035e-03 -3.092568e-03 -4.516931e-03 -5.276305e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.226454e+03
1.335258e-02 3.397167e+01 9.423109e-03 3.127476e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.125926e+00 1.000000e+00 2.700000e-01 1.671530e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.469815e-01 -5.419970e-03 -2.007523e-01 -2.974991e-03 -2.067901e-03 -3.091641e-03 -4.515558e-03 -5.274630e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.226488e+03
1.335257e-02 3.396837e+01 9.423340e-03 3.127288e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.140741e+00 1.000000e+00 2.700000e-01 1.671455e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.468195e-01 -5.436533e-03 -2.007479e-01 -2.975215e-03 -2.066924e-03 -3.090618e-03 -4.514251e-03 -5.273177e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.226615e+03
1.335261e-02 3.396479e+01 9.423626e-03 3.127071e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.155556e+00 1.000000e+00 2.700000e-01 1.671403e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.466511e-01 -5.452878e-03 -2.007438e-01 -2.975465e-03 -2.066078e-03 -3.089502e-03 -4.513020e-03 -5.271885e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.226805e+03
1.335271e-02 3.396100e+01 9.423972e-03 3.126831e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.170370e+00 1.000000e+00 2.700000e-01 1.671347e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.464761e-01 -5.468413e-03 -2.007393e-01 -2.975718e-03 -2.065335e-03 -3.088296e-03 -4.511866e-03 -5.270683e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.227026e+03
1.335288e-02 3.395708e+01 9.424384e-03 3.126576e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.185185e+00 1.000000e+00 2.700000e-01 1.671267e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.462947e-01 -5.482547e-03 -2.007339e-01 -2.975950e-03 -2.064666e-03 -3.087008e-03 -4.510789e-03 -5.269507e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.227250e+03
1.335313e-02 3.395310e+01 9.424862e-03 3.126311e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.200000e+00 1.000000e+00 2.700000e-01 1.671140e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.461074e-01 -5.494735e-03 -2.007270e-01 -2.976140e-03 -2.064043e-03 -3.085648e-03 -4.509782e-03 -5.268295e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.227452e+03
1.335432e-02 3.395861e+01 9.422646e-03 3.122891e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.148148e-01 8.000000e-01 1.000000e+00 2.700000e-01 1.688058e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.505843e-01 -5.236032e-03 -2.013044e-01 -2.999996e-03 -2.122740e-03 -3.045308e-03 -4.519739e-03 -5.340206e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.254333e+03
1.335369e-02 3.396208e+01 9.422594e-03 3.123315e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.148148e-01 8.148148e-01 1.000000e+00 2.700000e-01 1.686798e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.503116e-01 -5.214003e-03 -2.012674e-01 -2.996556e-03 -2.118740e-03 -3.044451e-03 -4.522339e-03 -5.337552e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.251593e+03
