#bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa qso_metal_boost chi2
-0.352616763896 1.66148589759 0.8 1.25172413793 2.9 3.26 1.966 1.0 -0.0259088413199 0.75400546059 23.6414691376 0.0723877475493 -0.666666666667 300.0 4.0 4.0 3.66662293399 0.97076 -0.801617100935 4.0 4.0 0.53 0.289 4.71363252599 0.597033944278 0.0 inf 300.0 -0.00383818819828 0.5 1.0 -0.003485353227 0.5 1.0 -0.00290029278073 0.5 1.0 -0.00156792935502 0.5 1.0 -0.0254711025315 0.5 1.0 1.0 3892.89837465
-0.352714834183 1.65969539663 0.8 1.27931034483 2.9 3.26 1.966 1.0 -0.0259519410681 0.754350718635 23.6463317735 0.0741433178471 -0.666666666667 300.0 4.0 4.0 3.66873309392 0.97076 -0.801381885547 4.0 4.0 0.53 0.289 4.71148906233 0.600027626886 0.0 inf 300.0 -0.00383712453268 0.5 1.0 -0.00348113180634 0.5 1.0 -0.00289942889329 0.5 1.0 -0.00156070569481 0.5 1.0 -0.0254155659713 0.5 1.0 1.0 3891.0079184
-0.352810638894 1.65803950224 0.8 1.30689655172 2.9 3.26 1.966 1.0 -0.0259953138145 0.754665608379 23.6514708477 0.0758203891841 -0.666666666667 300.0 4.0 4.0 3.67020956448 0.97076 -0.801198454904 4.0 4.0 0.53 0.289 4.70963004981 0.602307682244 0.0 inf 300.0 -0.00383562119142 0.5 1.0 -0.0034772851834 0.5 1.0 -0.00289870441777 0.5 1.0 -0.00155404235048 0.5 1.0 -0.0253567903919 0.5 1.0 1.0 3889.36231044
-0.352903137541 1.6565471937 0.8 1.33448275862 2.9 3.26 1.966 1.0 -0.0260373885924 0.754950265238 23.6562017952 0.0774012726085 -0.666666666667 300.0 4.0 4.0 3.67106163796 0.97076 -0.801098452249 4.0 4.0 0.53 0.289 4.70806396977 0.603864287246 0.0 inf 300.0 -0.00383419104889 0.5 1.0 -0.00347376523799 0.5 1.0 -0.00289806059914 0.5 1.0 -0.00154791877726 0.5 1.0 -0.0252964732834 0.5 1.0 1.0 3887.98476416
-0.353019344019 1.65512401046 0.8 1.36206896552 2.9 3.26 1.966 1.0 -0.0260776669154 0.755737507335 23.6672022624 0.0790463033701 -0.666666666667 300.0 4.0 4.0 3.67028724759 0.97076 -0.801395075334 4.0 4.0 0.53 0.289 4.70708356336 0.603674924112 0.0 inf 300.0 -0.00383024711975 0.5 1.0 -0.00346715880601 0.5 1.0 -0.00290135396276 0.5 1.0 -0.00154112979378 0.5 1.0 -0.0251889731609 0.5 1.0 1.0 3886.87542854
-0.353101769876 1.65398496826 0.8 1.38965517241 2.9 3.26 1.966 1.0 -0.0261129545277 0.755886733735 23.6690595965 0.0803984216776 -0.666666666667 300.0 4.0 4.0 3.67027233995 0.97076 -0.801495509329 4.0 4.0 0.53 0.289 4.70605347977 0.604163481738 0.0 inf 300.0 -0.00383062611507 0.5 1.0 -0.00346399489019 0.5 1.0 -0.00290061884678 0.5 1.0 -0.00153595401779 0.5 1.0 -0.0251332958736 0.5 1.0 1.0 3886.01974481
-0.353177740526 1.65303852232 0.8 1.41724137931 2.9 3.26 1.966 1.0 -0.0261450064555 0.756024113321 23.6696216155 0.0816412616552 -0.666666666667 300.0 4.0 4.0 3.66998925999 0.97076 -0.801671135529 4.0 4.0 0.53 0.289 4.70522634582 0.604273864671 0.0 inf 300.0 -0.00383149066461 0.5 1.0 -0.00346103989351 0.5 1.0 -0.00289991794079 0.5 1.0 -0.00153118162862 0.5 1.0 -0.0250835291875 0.5 1.0 1.0 3885.39665421
-0.35324639456 1.65225803915 0.8 1.44482758621 2.9 3.26 1.966 1.0 -0.0261726575307 0.756148285593 23.6688441825 0.082773136407 -0.666666666667 300.0 4.0 4.0 3.6695735667 0.97076 -0.8018995303 4.0 4.0 0.53 0.289 4.7045465094 0.604152177411 0.0 inf 300.0 -0.00383323612682 0.5 1.0 -0.0034581110715 0.5 1.0 -0.00289903768639 0.5 1.0 -0.00152673288455 0.5 1.0 -0.0250430075096 0.5 1.0 1.0 3884.97929001
-0.353307474287 1.65163415329 0.8 1.4724137931 2.9 3.26 1.966 1.0 -0.0261963468544 0.75626911625 23.6668480838 0.0838020805975 -0.666666666667 300.0 4.0 4.0 3.6691332466 0.97076 -0.802153528687 4.0 4.0 0.53 0.289 4.70394953614 0.603918690238 0.0 inf 300.0 -0.00383564645506 0.5 1.0 -0.00345521413621 0.5 1.0 -0.00289802730638 0.5 1.0 -0.00152258199486 0.5 1.0 -0.0250128856171 0.5 1.0 1.0 3884.73548766
-0.353361182238 1.65113601952 0.8 1.5 2.9 3.26 1.966 1.0 -0.026216233013 0.756394822174 23.6637947798 0.0847393528829 -0.666666666667 300.0 4.0 4.0 3.66876264274 0.97076 -0.802414380695 4.0 4.0 0.53 0.289 4.70336679102 0.603688578823 0.0 inf 300.0 -0.00383862665359 0.5 1.0 -0.00345232687482 0.5 1.0 -0.00289687936652 0.5 1.0 -0.00151868684735 0.5 1.0 -0.0249932489177 0.5 1.0 1.0 3884.62615964
-0.350610217101 1.72358846366 0.855555555556 0.7 2.9 3.26 1.966 1.0 -0.0254508218141 0.752534961416 23.462973035 0.0428083175039 -0.666666666667 300.0 4.0 4.0 3.60434952371 0.97076 -0.805454231479 4.0 4.0 0.53 0.289 4.82554608932 0.50104321091 0.0 inf 300.0 -0.00390640956006 0.5 1.0 -0.00352134051538 0.5 1.0 -0.00289316092692 0.5 1.0 -0.00127945203294 0.5 1.0 -0.0285917912694 0.5 1.0 1.0 3951.50307426
-0.350850203217 1.71780045977 0.855555555556 0.727586206897 2.9 3.26 1.966 1.0 -0.0256199847258 0.753319439487 23.5307427509 0.0463160295291 -0.666666666667 300.0 4.0 4.0 3.60895132519 0.97076 -0.802336906102 4.0 4.0 0.53 0.289 4.81752011136 0.509232265972 0.0 inf 300.0 -0.0038572489047 0.5 1.0 -0.0035203655989 0.5 1.0 -0.00289850062506 0.5 1.0 -0.00127510122665 0.5 1.0 -0.0280715686291 0.5 1.0 1.0 3946.54856065
-0.35109409386 1.71092710502 0.855555555556 0.755172413793 2.9 3.26 1.966 1.0 -0.0257675508147 0.75483488643 23.5899331722 0.0500771678681 -0.666666666667 300.0 4.0 4.0 3.61525425972 0.97076 -0.799749147031 4.0 4.0 0.53 0.289 4.80606933667 0.519742508857 0.0 inf 300.0 -0.00381244733237 0.5 1.0 -0.0035189392268 0.5 1.0 -0.0029025806381 0.5 1.0 -0.00126376413019 0.5 1.0 -0.0275467623383 0.5 1.0 1.0 3940.08483343
-0.351306885487 1.70475392496 0.855555555556 0.78275862069 2.9 3.26 1.966 1.0 -0.0258776109215 0.75555837253 23.6395465201 0.053116306558 -0.666666666667 300.0 4.0 4.0 3.62345490342 0.97076 -0.798713268849 4.0 4.0 0.53 0.289 4.79544198493 0.531832312129 0.0 inf 300.0 -0.00377827509318 0.5 1.0 -0.00351725449011 0.5 1.0 -0.00290601265061 0.5 1.0 -0.00126030813037 0.5 1.0 -0.0270623634953 0.5 1.0 1.0 3932.98262318
-0.351480909377 1.69941696385 0.855555555556 0.810344827586 2.9 3.26 1.966 1.0 -0.0259636335612 0.755576234899 23.6733131897 0.055736422838 -0.666666666667 300.0 4.0 4.0 3.63282706668 0.97076 -0.798394549894 4.0 4.0 0.53 0.289 4.78619565919 0.544618890008 0.0 inf 300.0 -0.00375700672869 0.5 1.0 -0.00351277858092 0.5 1.0 -0.00291136277395 0.5 1.0 -0.00125990224091 0.5 1.0 -0.0267046325808 0.5 1.0 1.0 3925.67735562
-0.351669002573 1.69377205117 0.855555555556 0.837931034483 2.9 3.26 1.966 1.0 -0.0260314512624 0.756643104256 23.702888744 0.0585366649426 -0.666666666667 300.0 4.0 4.0 3.64118446373 0.97076 -0.798627279933 4.0 4.0 0.53 0.289 4.77535448628 0.556514124363 0.0 inf 300.0 -0.00373804134662 0.5 1.0 -0.003509944643 0.5 1.0 -0.00291417152963 0.5 1.0 -0.00125462893506 0.5 1.0 -0.0263465607918 0.5 1.0 1.0 3918.3420693
-0.35185438613 1.68830023953 0.855555555556 0.865517241379 2.9 3.26 1.966 1.0 -0.0260797200751 0.757811795376 23.7239176425 0.0612411471709 -0.666666666667 300.0 4.0 4.0 3.64871599137 0.97076 -0.799116029294 4.0 4.0 0.53 0.289 4.76469554861 0.567416685468 0.0 inf 300.0 -0.00372631725222 0.5 1.0 -0.00350699608927 0.5 1.0 -0.00291653115718 0.5 1.0 -0.00124927076301 0.5 1.0 -0.0260287584731 0.5 1.0 1.0 3911.21097396
-0.35203298709 1.68332682393 0.855555555556 0.893103448276 2.9 3.26 1.966 1.0 -0.0261114065527 0.759004210413 23.7359232881 0.0637791572611 -0.666666666667 300.0 4.0 4.0 3.65482411596 0.97076 -0.799629369229 4.0 4.0 0.53 0.289 4.75473880813 0.576560955091 0.0 inf 300.0 -0.00372164981148 0.5 1.0 -0.00350397264041 0.5 1.0 -0.0029183184263 0.5 1.0 -0.00124386832447 0.5 1.0 -0.0257539574896 0.5 1.0 1.0 3904.70555494
-0.35219825258 1.67928879906 0.855555555556 0.920689655172 2.9 3.26 1.966 1.0 -0.0261322689068 0.760120445569 23.7388462812 0.0660736814825 -0.666666666667 300.0 4.0 4.0 3.65907466361 0.97076 -0.800071134608 4.0 4.0 0.53 0.289 4.74611175452 0.583297286625 0.0 inf 300.0 -0.0037232969664 0.5 1.0 -0.00350086798684 0.5 1.0 -0.00291944230356 0.5 1.0 -0.00123840597064 0.5 1.0 -0.0255291469425 0.5 1.0 1.0 3899.25940968
-0.35234650864 1.67639845542 0.855555555556 0.948275862069 2.9 3.26 1.966 1.0 -0.026148874096 0.761093604109 23.7340188961 0.0681106494952 -0.666666666667 300.0 4.0 4.0 3.66146215934 0.97076 -0.800416443734 4.0 4.0 0.53 0.289 4.73917293957 0.587514881658 0.0 inf 300.0 -0.00372980120746 0.5 1.0 -0.0034976252762 0.5 1.0 -0.00291990399967 0.5 1.0 -0.00123280871978 0.5 1.0 -0.025356477388 0.5 1.0 1.0 3895.07562827
-0.352478274657 1.67453776965 0.855555555556 0.975862068966 2.9 3.26 1.966 1.0 -0.026166081656 0.761906259184 23.7239380299 0.0699423058379 -0.666666666667 300.0 4.0 4.0 3.66243009024 0.97076 -0.800674239865 4.0 4.0 0.53 0.289 4.73387097056 0.589714121872 0.0 inf 300.0 -0.00373936954885 0.5 1.0 -0.00349414936869 0.5 1.0 -0.00291976929669 0.5 1.0 -0.00122699656392 0.5 1.0 -0.0252312253758 0.5 1.0 1.0 3892.05580408
-0.352596521988 1.67338550983 0.855555555556 1.00344827586 2.9 3.26 1.966 1.0 -0.0261860250113 0.762573825687 23.7113015732 0.0716450619265 -0.666666666667 300.0 4.0 4.0 3.66262667493 0.97076 -0.800862355381 4.0 4.0 0.53 0.289 4.72988027188 0.590703174064 0.0 inf 300.0 -0.00375037322231 0.5 1.0 -0.00349035162353 0.5 1.0 -0.00291911883796 0.5 1.0 -0.00122095032482 0.5 1.0 -0.0251441526816 0.5 1.0 1.0 3889.91252221
-0.352704333592 1.67260218545 0.855555555556 1.03103448276 2.9 3.26 1.966 1.0 -0.0262085714959 0.763118526639 23.6981370052 0.0732779415271 -0.666666666667 300.0 4.0 4.0 3.66262869158 0.97076 -0.800989015514 4.0 4.0 0.53 0.289 4.72682190496 0.591231450501 0.0 inf 300.0 -0.00376167802594 0.5 1.0 -0.00348619378383 0.5 1.0 -0.00291801915816 0.5 1.0 -0.00121474273378 0.5 1.0 -0.0250852863443 0.5 1.0 1.0 3888.33082056
-0.352814642231 1.67157532041 0.855555555556 1.05862068966 2.9 3.26 1.966 1.0 -0.0262320701148 0.76472084575 23.693778397 0.0750125362537 -0.666666666667 300.0 4.0 4.0 3.66165529491 0.97076 -0.801167931802 4.0 4.0 0.53 0.289 4.72425066234 0.590398867588 0.0 inf 300.0 -0.00376759167226 0.5 1.0 -0.00348140089111 0.5 1.0 -0.00291797281747 0.5 1.0 -0.00120835794899 0.5 1.0 -0.0250473205056 0.5 1.0 1.0 3887.04969894
-0.352904666097 1.67084010268 0.855555555556 1.08620689655 2.9 3.26 1.966 1.0 -0.0262556907145 0.765079309188 23.6820459483 0.0765764269225 -0.666666666667 300.0 4.0 4.0 3.66244522516 0.97076 -0.801116091371 4.0 4.0 0.53 0.289 4.72211824262 0.591571384725 0.0 inf 300.0 -0.00377810269279 0.5 1.0 -0.00347606660452 0.5 1.0 -0.00291651495992 0.5 1.0 -0.00120244186096 0.5 1.0 -0.0250289091183 0.5 1.0 1.0 3885.87749186
