#bias_lya*(1+beta_lya) beta_lya ap at alpha SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim kappa0 Lpar_auto Lper_auto bias_Si3 beta_Si3 bias_Si2a beta_Si2a bias_Si2b beta_Si2b bias_Si2c beta_Si2c bias_CIVa beta_CIVa chi2
-0.323620932218 1.66248040216 0.825 0.94 2.9 3.26 1.966 1.0 -0.0276822163141 0.658043260498 24.2770117356 0.0855750276862 -0.666666666667 300.0 4.0 4.0 -0.00333878762692 0.5 -0.00445339992427 0.5 -0.00349605405989 0.5 -0.00203239184812 0.5 -0.0199996076938 0.5 1597.1501465
-0.323758205019 1.66103493955 0.825 0.98 2.9 3.26 1.966 1.0 -0.0277269233187 0.659165637534 24.2784457421 0.0874951176002 -0.666666666667 300.0 4.0 4.0 -0.00333919284305 0.5 -0.00444831750498 0.5 -0.0034964283123 0.5 -0.00202404969807 0.5 -0.0199999985042 0.5 1593.88796107
-0.323867257874 1.66041778238 0.825 1.02 2.9 3.26 1.966 1.0 -0.0277496030774 0.660661208224 24.2669711443 0.0891113795838 -0.666666666667 300.0 4.0 4.0 -0.00334986119599 0.5 -0.0044426394668 0.5 -0.00349638553354 0.5 -0.00201463901571 0.5 -0.0199999463871 0.5 1591.44198199
-0.323964036179 1.66009117081 0.825 1.06 2.9 3.26 1.966 1.0 -0.027776922636 0.661174169987 24.2555877534 0.0905734397546 -0.666666666667 300.0 4.0 4.0 -0.00335730590058 0.5 -0.00443862394524 0.5 -0.00349368918444 0.5 -0.00200274363346 0.5 -0.0199999793562 0.5 1589.69907006
-0.324071446421 1.66008123288 0.825 1.1 2.9 3.26 1.966 1.0 -0.027790054673 0.661995412063 24.2431813134 0.0919940791066 -0.666666666667 300.0 4.0 4.0 -0.00337004153668 0.5 -0.00443058938994 0.5 -0.0034908681663 0.5 -0.00199220056353 0.5 -0.0199999476388 0.5 1588.47690336
-0.324140601815 1.66004371155 0.825 1.14 2.9 3.26 1.966 1.0 -0.0278201340114 0.662440082258 24.2299603928 0.0933088722898 -0.666666666667 300.0 4.0 4.0 -0.00338025448645 0.5 -0.00442415808099 0.5 -0.00348748087581 0.5 -0.00198297494115 0.5 -0.0199999999626 0.5 1587.59086975
-0.32422413145 1.65988364584 0.825 1.18 2.9 3.26 1.966 1.0 -0.0278469361988 0.662438661465 24.2196960167 0.094636093494 -0.666666666667 300.0 4.0 4.0 -0.00339003236906 0.5 -0.00441989691699 0.5 -0.00348278293859 0.5 -0.00197276966107 0.5 -0.0199997826774 0.5 1586.85338667
-0.324275764208 1.65976403471 0.825 1.22 2.9 3.26 1.966 1.0 -0.0278846299576 0.66376420976 24.205817814 0.0958688874321 -0.666666666667 300.0 4.0 4.0 -0.00339642268183 0.5 -0.00441227259127 0.5 -0.00348031552708 0.5 -0.00196858201952 0.5 -0.0199997374585 0.5 1586.08199486
-0.324377439843 1.65890946001 0.825 1.26 2.9 3.26 1.966 1.0 -0.0279094176679 0.663394733189 24.2042584654 0.0973436824433 -0.666666666667 300.0 4.0 4.0 -0.00340087963984 0.5 -0.00440678963234 0.5 -0.00347895112726 0.5 -0.00195674885221 0.5 -0.0199999817381 0.5 1585.14387343
-0.324449429124 1.65755823816 0.825 1.3 2.9 3.26 1.966 1.0 -0.0279445696047 0.663560619578 24.2028748837 0.0986689912386 -0.666666666667 300.0 4.0 4.0 -0.00340733221098 0.5 -0.00440094423938 0.5 -0.0034744602295 0.5 -0.00195341443331 0.5 -0.0199994493325 0.5 1584.00158152
-0.324542262182 1.65665286249 0.825 1.34 2.9 3.26 1.966 1.0 -0.0279745775499 0.663569051859 24.2033402614 0.100123024848 -0.666666666667 300.0 4.0 4.0 -0.00340428264453 0.5 -0.0043962246242 0.5 -0.00347378833296 0.5 -0.00194586210808 0.5 -0.019999965881 0.5 1582.72469272
-0.324599086736 1.65475055076 0.825 1.38 2.9 3.26 1.966 1.0 -0.0280099346059 0.663675420817 24.2011018678 0.101419728853 -0.666666666667 300.0 4.0 4.0 -0.0034140763974 0.5 -0.00439361180049 0.5 -0.00347258365996 0.5 -0.00194065145591 0.5 -0.0199999999495 0.5 1581.46182383
-0.324683565138 1.65365182407 0.825 1.42 2.9 3.26 1.966 1.0 -0.0280188592406 0.664038912082 24.1999405421 0.102621121402 -0.666666666667 300.0 4.0 4.0 -0.00341028122172 0.5 -0.0043882625329 0.5 -0.00347115918656 0.5 -0.00193174892695 0.5 -0.0199999924941 0.5 1580.37916385
-0.324748310614 1.65236525428 0.825 1.46 2.9 3.26 1.966 1.0 -0.0280452996992 0.663932988437 24.2041040758 0.103768149539 -0.666666666667 300.0 4.0 4.0 -0.00341164470843 0.5 -0.00438373703208 0.5 -0.00346813408288 0.5 -0.00193065204906 0.5 -0.0199999319728 0.5 1579.60901962
-0.324786159619 1.65147574651 0.825 1.5 2.9 3.26 1.966 1.0 -0.0280644525316 0.664111893136 24.2002512372 0.104645242673 -0.666666666667 300.0 4.0 4.0 -0.00341403621341 0.5 -0.00438059387253 0.5 -0.00346637327385 0.5 -0.00192698420138 0.5 -0.0199999945729 0.5 1579.21553686
-0.323133083717 1.67600209567 0.85 0.7 2.9 3.26 1.966 1.0 -0.0271317596678 0.660121770404 24.1423802639 0.0772563726702 -0.666666666667 300.0 4.0 4.0 -0.00348182291882 0.5 -0.00442353601314 0.5 -0.00345846561344 0.5 -0.00183526665673 0.5 -0.0199999990709 0.5 1616.67705313
-0.323264905098 1.67316757242 0.85 0.74 2.9 3.26 1.966 1.0 -0.0273237108113 0.659853379433 24.1859523273 0.0797713049703 -0.666666666667 300.0 4.0 4.0 -0.00343460837043 0.5 -0.00442767851913 0.5 -0.00346939927257 0.5 -0.00183737788225 0.5 -0.0199999986865 0.5 1611.72608754
-0.323389959187 1.6710435869 0.85 0.78 2.9 3.26 1.966 1.0 -0.027484427081 0.66109232955 24.2193732356 0.0822844812544 -0.666666666667 300.0 4.0 4.0 -0.0033949894898 0.5 -0.00443090444138 0.5 -0.00347842289985 0.5 -0.00184001287868 0.5 -0.0199999222109 0.5 1607.26438048
-0.323506461052 1.67000832142 0.85 0.82 2.9 3.26 1.966 1.0 -0.0276392753585 0.660965679412 24.2513920034 0.0841480191928 -0.666666666667 300.0 4.0 4.0 -0.00335823106056 0.5 -0.00443260036153 0.5 -0.00348330842612 0.5 -0.0018295396078 0.5 -0.0199999545547 0.5 1603.43951237
-0.323641832568 1.66858788927 0.85 0.86 2.9 3.26 1.966 1.0 -0.0277447483078 0.66135533497 24.2710392103 0.0861701210238 -0.666666666667 300.0 4.0 4.0 -0.00333624934973 0.5 -0.00443438439042 0.5 -0.00349159477029 0.5 -0.00183207345144 0.5 -0.0199999764861 0.5 1599.42801938
-0.323771510482 1.666211353 0.85 0.9 2.9 3.26 1.966 1.0 -0.0278350803079 0.662491272075 24.282180439 0.0883376325069 -0.666666666667 300.0 4.0 4.0 -0.00332168336892 0.5 -0.00443414328866 0.5 -0.0034939906856 0.5 -0.00182518639299 0.5 -0.0199999001092 0.5 1595.12533395
-0.323887103581 1.66392846577 0.85 0.94 2.9 3.26 1.966 1.0 -0.0278952507001 0.662641820673 24.2815751243 0.0901051272397 -0.666666666667 300.0 4.0 4.0 -0.00332167343141 0.5 -0.00443614719981 0.5 -0.00349844732704 0.5 -0.00181615369222 0.5 -0.0199991960868 0.5 1591.13914544
-0.324016168214 1.66290890691 0.85 0.98 2.9 3.26 1.966 1.0 -0.0278928271655 0.66379155901 24.2700680986 0.0917693107897 -0.666666666667 300.0 4.0 4.0 -0.00332973071343 0.5 -0.00442841948152 0.5 -0.00349641993576 0.5 -0.00180785417145 0.5 -0.0199993462022 0.5 1587.96346621
-0.324128836466 1.66219732789 0.85 1.02 2.9 3.26 1.966 1.0 -0.0279415164765 0.664591628136 24.2672424163 0.093379478644 -0.666666666667 300.0 4.0 4.0 -0.00333344835375 0.5 -0.00442642480534 0.5 -0.00349553744578 0.5 -0.00180604840137 0.5 -0.019999896896 0.5 1585.68903935
-0.324227146718 1.66201422755 0.85 1.06 2.9 3.26 1.966 1.0 -0.0279586707345 0.66524783046 24.2565793532 0.094836962362 -0.666666666667 300.0 4.0 4.0 -0.00334570382521 0.5 -0.00442213850067 0.5 -0.00349638908709 0.5 -0.00179834485078 0.5 -0.0199999849483 0.5 1584.1688928
-0.324311688294 1.66165763089 0.85 1.1 2.9 3.26 1.966 1.0 -0.0279729531852 0.666546823352 24.2425070137 0.0963049915781 -0.666666666667 300.0 4.0 4.0 -0.00335503783844 0.5 -0.0044149793423 0.5 -0.00349293158024 0.5 -0.00178300652845 0.5 -0.0199999910496 0.5 1583.19554735
-0.324380432026 1.66162719142 0.85 1.14 2.9 3.26 1.966 1.0 -0.028000127224 0.66652551582 24.2304732281 0.0974087767362 -0.666666666667 300.0 4.0 4.0 -0.00336535058517 0.5 -0.00440896642705 0.5 -0.00348719498976 0.5 -0.00177941238388 0.5 -0.0199999997601 0.5 1582.56286512
-0.324453405871 1.66142398665 0.85 1.18 2.9 3.26 1.966 1.0 -0.0280192035147 0.666700051807 24.2179843612 0.0986123230754 -0.666666666667 300.0 4.0 4.0 -0.00337658805666 0.5 -0.0044029745283 0.5 -0.00348414028095 0.5 -0.00177323084275 0.5 -0.0199999932935 0.5 1582.06675876
-0.324528818834 1.66128791212 0.85 1.22 2.9 3.26 1.966 1.0 -0.0280457636898 0.667320455245 24.2121609724 0.0999481145384 -0.666666666667 300.0 4.0 4.0 -0.00338221110381 0.5 -0.00439615820123 0.5 -0.00347955289799 0.5 -0.00176544139033 0.5 -0.0199995769272 0.5 1581.51801365
-0.324595440706 1.66054124188 0.85 1.26 2.9 3.26 1.966 1.0 -0.0280577432578 0.667404969857 24.2027837113 0.101092326343 -0.666666666667 300.0 4.0 4.0 -0.00339591519533 0.5 -0.00439061213895 0.5 -0.0034762289033 0.5 -0.00175912559912 0.5 -0.0199983528664 0.5 1580.78894452
-0.3246869577 1.65926732287 0.85 1.3 2.9 3.26 1.966 1.0 -0.0280920980597 0.666551105854 24.2025643545 0.102448429549 -0.666666666667 300.0 4.0 4.0 -0.00339384096251 0.5 -0.00438632038246 0.5 -0.00347526041958 0.5 -0.00175475953866 0.5 -0.0199999537497 0.5 1579.85259041
-0.32474887064 1.65741054111 0.85 1.34 2.9 3.26 1.966 1.0 -0.0281315180766 0.666641125868 24.2059646319 0.10376092901 -0.666666666667 300.0 4.0 4.0 -0.00339488562034 0.5 -0.00438221830278 0.5 -0.0034711008687 0.5 -0.00175271237935 0.5 -0.0199999632779 0.5 1578.79357324
